Nama Kos;Alamat;Jenis;Harga;WiFi;AC;Dapur;Listrik;Kamar mandi;Jarak dari PENS;Nomor pemilik kos
Kos Pak Rokhim;Jl.Kejawan Gebang I;Khusus Laki Laki;650000;Ada;Tidak;Ada;Include;Luar;2.4;85784626098
Kos Jalan gebang Lor no. 74;Jalan gebang Lor no. 74;Khusus Perempuan;500000;Ada;Tidak;Tidak;Include;Luar;1.8;-
Kos Bapak;Keputih Utara No 20;Khusus Laki Laki;350000;Ada;Tidak;Ada;Include;Luar;2.4;81235719253
Jl. Gubeng Airlangga I No.3;Jl. Gubeng Airlangga I No.3;Khusus Perempuan;700000;Ada;Tidak;Ada;Include;Luar;5.4;85746600699
KOS TMB 79;Jl. Tegal Mulyorejo Baru No.79, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112;Khusus Perempuan;500000;Ada;Tidak;Ada;Include;Luar;1.5;+62 823-3022-0330
Kost Muslimah;Jalan Gebang Wetan, No. 11, Gebang Putih, Kec. Sukolilo.;Khusus Perempuan;600000;Ada;Tidak;Ada;Exclude;Luar;1.8;85812050929
Kost 16 Gang Makam;Jalan Keputih Makam nomor 16;Khusus Perempuan;700000;Ada;Tidak;Ada;Include;Luar;3,8;+62 812-3993-6754
Kost keputih? ;Jalan Makam Blok C No. 14;Khusus Laki Laki;450000;Ada;Tidak;Tidak;Include;Luar;3.8;08183020-8000
Kos TMB;Jalan Tegal Mulyorejo Baru No. 79;Khusus Perempuan;700000;Ada;Tidak;Ada;Include;Luar;1.3;+62 823-3022-0330
Jalan Rodah No. 6;Jalan Rodah No. 6;Khusus Laki Laki;550000;Ada;Tidak;Ada;Include;Luar;1.2;82142097280
Kos TMB 98;Jalan Tegal Mulyorejo Baru No.96, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60115;Khusus Laki Laki;800000;Ada;Tidak;Tidak;Include;Luar;1.3;+62 852-5845-2550
Rabbani Kost Syariah;Jalan Bhaskara Utara No.C3;Khusus Perempuan;2500000;Ada;Ada;Ada;Exclude;Dalam;1.2;+62 877-4304-3092
Kos;jl arief rahman hakim gan ii kampung deles no.3;Khusus Perempuan;550000;Ada;Ada;Ada;Include;Luar;3.2;6,28563E+11
Kos Sakinah;Jl. Wisma Permai I No. 81, Mulyorejo, Surabaya;Khusus Perempuan;1800000;Ada;Ada;Ada;Include;Luar;2.3;+62 856-8762-505
Kos Bu Kadek ;Kost Bu Kadek, Jalan Sutorejo Sel VIII Blok G 5 No. 11, RT.6/RW.8, Dukuh Sutorejo, Dukuh Sutorejo;Khusus Laki Laki;650000;Tidak;Tidak;Ada;Include;Luar;2.0;+62 877-4987-8887
Kost Wisper 312;Jl. Wisma Permai III No.12, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115;Khusus Laki Laki;1300000;Ada;Ada;Ada;Exclude;Luar;0.3;‪+62 812‑3523‑6545‬
Kost Pagar Coklat;Jalan Tegal Mulyorejo Baru No. 44;Khusus Perempuan;750000;Ada;Tidak;Ada;Include;Luar;1.9;+62 813-3192-5747 (Reta) 
kos barokah;Jalan Kejawan Putih Tambak No. 59, /RW.1, Kejawaan Putih Tamba, Kejawaan Putih Tambak, KOTA SURABAYA, MULYOREJO, JAWA TIMUR, ID, 60112;Campur;1000000;Tidak;Tidak;Tidak;Exclude;Dalam;2.0;+62 812-3337-1977
Kost pak rifaul;Keputih utara gg buntu ;Khusus Laki Laki;650000;Ada;Tidak;Ada;Include;Luar;2.8; 0821-3125-6682
Kos Bu Hikmah;Jl Gebang Wetan no 29B;Khusus Perempuan;850000;Ada;Tidak;Ada;Include;Luar;1.8;+62 858-1279-1782
Kos bu yeni;Jalan kejawan gang 1;Khusus Laki Laki;750000;Ada;Tidak;Tidak;Exclude;Luar;1.0;+62 859-3114-8799
Kos Bapak;Jalan Keputih Gg. III G;Khusus Laki Laki;216000;Ada;Tidak;Ada;Exclude;Dalam;4.0;87844197219
Kos TMB no. 79;Jalan Tegal Mulyorejo Baru no 79.;Khusus Perempuan;500000;Ada;Tidak;Ada;Include;Luar;1.5;+62 823-3022-0330
Kos Pak Sudar;Jalan Gebang Lor No. 29;Khusus Laki Laki;700000;Ada;Tidak;Tidak;Include;Luar;1.3;85330583534
Kos Gebang Wetan  11;Jl. Gebang Wetan No 11;Khusus Perempuan;650000;Ada;Tidak;Ada;Include;Luar;1.8;+62 858-1205-0929
kos hermannas;Jl. Keputih Tegal Timur III C No.156, RT.001/RW.02, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111;Khusus Laki Laki;925000;Ada;Ada;Ada;Exclude;Luar;4.1;81918091412
Kost Bu emi;Gg puskesmas 28d ;Khusus Perempuan;600000;Ada;Ada;Ada;Include;Luar;1.0;0887 6543 2678
Kost Yusuf;Jl. Kejawan Gebang No. 31;Khusus Laki Laki;750000;Ada;Tidak;Tidak;Include;Dalam;2.0;81216983227
Kost Bu Anwar;Jl Keputiu Tegal Timur IIIC No. 31;Khusus Laki Laki;1100000;Ada;Ada;Ada;Exclude;Luar;3.7;-
Jalan keputih ;Jalan keputih ;Khusus Laki Laki;600000;Ada;Tidak;Tidak;Include;Luar;5.0;8179482485
Kos Priyangan;Jl. Gebang Lor;Khusus Laki Laki;1000000;Ada;Tidak;Tidak;Exclude;Luar;1.0;6,28577E+12
C27;Jalan Marina Emas Tengah, Blok C 27 No 7, RT 3 RW 6, Keputih, Sukolilo, Surabaya;Khusus Laki Laki;1600000;Ada;Ada;Ada;Exclude;Dalam;3.8;+62 812-7002-8399
Kos Gebang Wetan 8;Jl. Gebang Wetan No. 8;Khusus Perempuan;850000;Ada;Tidak;Ada;Include;Luar;1.0;+62 813-3187-7236
Kos Muslimah;Jalan Bumi Marina Emas Timur VI, No 18;Khusus Perempuan;1100000;Ada;Ada;Ada;Exclude;Luar;2.5;+62 812-1768-3029
Perumdos blok u 18;Perumdos blok u 18;Khusus Perempuan;750000;Ada;Tidak;Tidak;Exclude;Luar;1.0;+62 813-3152-4230
Kos daar naja;Jalan Kejawan Gebang III Gang Sebelah Masjid No. 2, RT.2/RW.4, Gebang Putih,sukolilo ,surabaya jawa timur;Khusus Perempuan;700000;Ada;Tidak;Ada;Include;Luar;3.0;+62 856-0882-6026
Kos Ilonka;Perum. Wisma Mukti, Jl. Klampis Indah III No. 29, Klampis Ngasem;Khusus Perempuan;1300000;Ada;Ada;Ada;Include;Luar;4.3;+62 813-3351-5631
Kos Oren Keputih;Jl. Keputih Gg. II A No.50, RT.001/RW.03 60111 Sukolilo Jawa Timur;Khusus Laki Laki;750000;Ada;Tidak;Tidak;Include;Luar;1.6;0821-4200-7221
Kos putra 21;jl. Keputih perintis II No.21;Khusus Laki Laki;1400000;Ada;Ada;Ada;Exclude;Dalam;3.2;+62 852-1626-9797
Kost abah Salam;keputih, gang 3C no 50;Khusus Laki Laki;500000;Ada;Tidak;Tidak;Exclude;Luar;3.3;tidak punya karena orangnya sudah tua 
Pink;Keputih.1 sebelah SMK 10;Campur;1500000;Ada;Ada;Ada;Exclude;Dalam;2.0;83115156355
Bu Anwar;Jl keputih tegal timur no 31 gang 3C;Khusus Laki Laki;1100000;Ada;Ada;Tidak;Exclude;Luar;2.0;+62 812-3000-8948
Kos Ibu Suwarni Gebang Kidul no 39;Gebang Kidul, jalan gebang kidul kos no 39;Khusus Laki Laki;640000;Ada;Tidak;Tidak;Include;Luar;2.0;+62 851-0914-4054
Kost diana;Bumi marina emas timur angka romawi 4 nomer 4;Khusus Laki Laki;800000;Ada;Tidak;Ada;Exclude;Dalam;1.8;6,28133E+12
KOST GW 31E;Jl. Gebang Wetan, No. 31E;Khusus Perempuan;925000;Ada;Tidak;Ada;Include;Luar;1.3;+62 812-3511-8882
Kos Gebang Muslim;Jalan Gebang Kidul No. 40;Campur;1300000;Ada;Ada;Tidak;Exclude;Dalam;2.0;+62 813-3068-9407 (kayaknya ya kak 🙏🏻)
Kos Muslim Hijau;Jalan Keputih Gg. 1C No. 34;Khusus Laki Laki;1000000;Ada;Tidak;Ada;Include;Luar;3.5;087851164840/08153332325
Kos Putra Mulyasari Utara;Jl. Mulyosari Utara VI No.15, RT.007/RW.01, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112;Khusus Laki Laki;1100000;Ada;Ada;Ada;Include;Luar;3.2;87851004211
Kost Putra Sahabat;Keputih Tegal Timur II Surabaya ;Khusus Laki Laki;1400000;Ada;Ada;Ada;Exclude;Dalam;5.0;0823-3644-0795
Kos Bu Agus;Jalan teknik komputer blok i no. 17 perumdos;Khusus Perempuan;700000;Tidak;Tidak;Tidak;Include;Luar;2.0;+62 812-9964-9966
Kost Aba Seno;Jalan Kejawan Putih Tambak No. 24;Khusus Laki Laki;700000;Ada;Tidak;Tidak;Include;Luar;2.2;+62 851-0237-3224
Kos Bu Siti;Jalan Gebang Kidul No. 77;Campur;780000;Ada;Tidak;Ada;Include;Luar;1.0;+62 857-3123-6919
Kos Pados Surabaya;Jl. Semolowaru Selatan I No.39;Khusus Laki Laki;1200000;Ada;Ada;Ada;Exclude;Luar;5.9;+62 811-3883-328
Putra sahabat;Keputih tegal timur 2 nomor 40;Khusus Laki Laki;1400000;Ada;Ada;Ada;Exclude;Dalam;3.6;82336440795
Kost Griya Siswa;Kecamatan Mulyorejo;Khusus Laki Laki;1900000;Ada;Ada;Ada;Exclude;Dalam;2.5;
Kost Kalisari Damen VIP;Mulyorejo;Khusus Perempuan;1500000;Ada;Ada;Ada;Exclude;Dalam;1.1;
Kost DHR Tipe A;Mulyorejo;Khusus Perempuan;2750000;Ada;Ada;Ada;Include;Dalam;0.6;
Kost Carica Tipe Double;Mulyorejo;Campur;1500000;Ada;Ada;Ada;Include;Dalam;2.9;
Kost Wisper Residence 37 Tipe B;Mulyorejo;Khusus Perempuan;2700000;Ada;Ada;Ada;Exclude;Dalam;0.8;
Kost Eksklusif Dharmahusada;Mulyorejo;Khusus Perempuan;1750000;Ada;Ada;Ada;Exclude;Luar;1.2;
Kost Heryne Executive 1;Mulyorejo;Khusus Perempuan;2500000;Ada;Ada;Ada;Exclude;Luar;0.3;
Kost Armani Tipe plus Two ;Mulyorejo;Khusus Perempuan;1800000;Ada;Ada;Ada;Include;Luar;0.5;
Kost Wisma Permai I Tipe C;Mulyorejo;Khusus Perempuan;1350000;Tidak;Ada;Ada;Include;Luar;1.3;
Kost Gebang Lor 81;Sukolilo;Khusus Laki Laki;750000;Ada;Tidak;Tidak;Include;Luar;0.8;
Kost Kamboja Ungu Tipe Executive;Mulyorejo;Khusus Laki Laki;1650000;Ada;Ada;Ada;Exclude;Luar;0,4;
Kost Dega Jannah Tipe 1;Mulyorejo;Khusus Perempuan;1401000;Ada;Tidak;Ada;Exclude;Dalam;0.7;
Kost Syaifullah Tipe A;Sukolilo;Khusus Laki Laki;835000;Tidak;Tidak;Tidak;Include;Luar;0.7;
Kost Adelwin Hilman W Tipe A;Mulyorejo;Khusus Perempuan;1750000;Ada;Ada;Ada;Exclude;Dalam;1.1;
Kost Mykost Wisma Permai Tipe D;Mulyorejo;Khusus Perempuan;1400000;Ada;Ada;Ada;Exclude;Luar;0.6;
Kost Rainbow;Mulyorejo;Khusus Perempuan;1600000;Ada;Ada;Ada;Exclude;Luar;0.7;
Kost Ibu Tri Wisma Permai;Mulyorejo;Khusus Laki Laki;1000000;Ada;Tidak;Tidak;Include;Luar;0.8;
Kost Gardena Homestay Tipe B;Sukolilo;Campur;2300000;Ada;Ada;Tidak;Exclude;Dalam;0.6;
Kost Ayem Tipe 2;Kecamatan Mulyorejo;Khusus Perempuan;2600000;Ada;Ada;Ada;Exclude;Dalam;0.3;
Kost Inas Nuri Al Salwa Tipe A;Mulyorejo;Khusus Laki Laki;650000;Ada;Tidak;Ada;Include;Luar;0.2;
Kost Sutorejo Tipe A;Mulyorejo;Khusus Laki Laki;1500000;Ada;Ada;Ada;Exclude;Luar;0.7;
Kost Griya Osma;Sukolilo;Khusus Perempuan;1600000;Ada;Ada;Ada;Exclude;Dalam;1.0;
Kost Mulyosari Mas Mulyorejo;Mulyorejo;Khusus Perempuan;1200000;Ada;Ada;Ada;Exclude;Luar;1.5;
Kost Putra Mulyosari;Mulyorejo;Khusus Laki Laki;1300000;Ada;Ada;Tidak;Exclude;Dalam;1.2;
Kost Ibu Rini II Tipe A;Mulyorejo;Khusus Perempuan;900000;Ada;Tidak;Ada;Include;Luar;0.6;
Kost Liana 1 Tipe B;Mulyorejo;Khusus Perempuan;1500000;Ada;Ada;Tidak;Include;Luar;1.5;
Kost Mulyosari Tipe VIP ;Mulyorejo;Khusus Laki Laki;1100000;Ada;Ada;Ada;Include;Luar;1.4;
Kost Wisper Residence 37 Tipe A;Mulyorejo;Khusus Perempuan;2000000;Ada;Ada;Ada;Exclude;Dalam;0.8;
Kost Bu Kuntari;Sukolilo;Khusus Laki Laki;700000;Ada;Tidak;Ada;Exclude;Luar;0.8;
Kost Klampis Aji II Tipe C;Sukolilo;Khusus Laki Laki;875000;Ada;Tidak;Ada;Exclude;Luar;2.0;
Kost Singgahsini Griya 4S;Sukolilo;Khusus Laki Laki;1221000;Ada;Ada;Ada;Exclude;Dalam;1.1;
Kost Singgahsini Mahasiswa Keputih Tipe A;Sukolilo;Khusus Laki Laki;1201000;Ada;Ada;Tidak;Exclude;Luar;1.2;
Kost Bumi Marina Emas Tipe B;Sukolilo;Khusus Laki Laki;786000;Ada;Tidak;Ada;Exclude;Luar;1.4;
Kost Rensi Kejawan Gebang Tipe A;Sukolilo;Khusus Perempuan;1495000;Ada;Ada;Ada;Exclude;Dalam;0.7;
Kost Berkah Keputih;Sukolilo;Khusus Laki Laki;1300000;Ada;Ada;Ada;Exclude;Luar;2.1;
Kost Tannara Tipe B;Sukolilo;Khusus Perempuan;1250000;Ada;Tidak;Ada;Exclude;Luar;2.1;
Kost Tannara I Tipe D;Sukolilo;Khusus Perempuan;1250000;Ada;Ada;Ada;Exclude;Luar;2.0;
Kost Keputih Tegal;Sukolilo;Khusus Laki Laki;1400000;Ada;Ada;Ada;Exclude;Dalam;1.6;
Kost Apik As Sholihin Tipe A;Sukolilo ;Khusus Laki Laki;675000;Ada;Tidak;Ada;Include;Luar;1.3;
Kost Keputih 74;Sukolilo;Khusus Perempuan;1800000;Ada;Ada;Ada;Exclude;Dalam;1.6;
Kost Aranos Executive;Sukolilo;Khusus Laki Laki;1700000;Ada;Ada;Ada;Exclude;Dalam;1.7;
Kost Goldieast ;Sukolilo;Khusus Laki Laki;1700000;Ada;Ada;Ada;Exclude;Dalam;1.9;
Kost Sin 3 Tipe A;Mulyorejo;Khusus Perempuan;1600000;Ada;Ada;Ada;Exclude;Dalam;1.4;
Kost Bu Sri Gojek;Sukolilo;Khusus Laki Laki;450000;Tidak;Tidak;Ada;Include;Luar;1.0;
Kost Puspita Tipe B;Mulyorejo;Khusus Perempuan;1600000;Ada;Ada;Ada;Exclude;Luar;1.9;
Kost ITS Unair Tipe A;Mulyorejo;Khusus Perempuan;950000;Ada;Tidak;Ada;Exclude;Luar;0.6;
Kost Mas Arif Tipe A1;Sukolilo;Khusus Perempuan;1500000;Ada;Ada;Ada;Exclude;Dalam;1.1;
Kost Mulyosari Tipe 1;mulyorejo;Khusus Perempuan;800000;Ada;Tidak;Ada;Exclude;Dalam;1.7;
Kost Klaris Tipe C;Mulyorejo;Khusus Perempuan;1300000;Ada;Ada;Ada;Exclude;Luar;1.6;
Kost E 58 Tipe A;Sukolilo;Khusus Laki Laki;1750000;Ada;Tidak;Ada;Exclude;Luar;1.2;
Kost Harvest Tipe Atas;Sukolilo;Khusus Perempuan;1750000;Ada;Ada;Ada;Exclude;Dalam;1.2;
Kost Ibu Hari;Sukolilo;Khusus Perempuan;850000;Ada;Tidak;Ada;Include;Luar;1.0;
Kost Rifa Tipe B;Sukolilo;Khusus Laki Laki;750000;Ada;Tidak;Ada;Include;Luar;1.2;
Kost Azamarsy;Sukolilo;Khusus Laki Laki;1255000;Ada;Ada;Ada;Exclude;Dalam;1.8;
Kost Bu Titik Kav 25;Mulyorejo;Khusus Perempuan;1255000;Ada;Ada;Ada;Exclude;Dalam;2.4;
Kost Wilfrid Tipe A;Sukolilo;Khusus Laki Laki;1200000;Ada;Ada;Ada;Exclude;Luar;1.3;
Kost Keputih Hijau Ungu 9 ;Sukolilo;Khusus Laki Laki;960000;Ada;Tidak;Ada;Include;Dalam;1.1;
 Kost Tutik Keputih Tipe A;Sukolilo;Khusus Laki Laki;650000;Ada;Tidak;Ada;Include;Luar;1.2;
Kost Nadiya Keputih Tipe A;Sukolilo;Khusus Perempuan;1200000;Ada;Ada;Ada;Exclude;Dalam;1.2;
Kost Kampus ITS AC;Sukolilo;Khusus Laki Laki;1200000;Ada;Ada;Ada;Include;Luar;0.7;
Kost Koshie Pu Reguler;Mulyorejo;Khusus Laki Laki;2000000;Ada;Ada;Ada;Exclude;Dalam;1.6;
Kost Bu Irianto TS Kampus C Tipe A;Mulyorejo;Khusus Laki Laki;1400000;Ada;Ada;Ada;Exclude;Luar;0.6;
Kost Pak Biono ITS Kejawan Tipe A;Sukolilo;Khusus Perempuan;650000;Ada;Tidak;Ada;Exclude;Luar;0.8;
Kost Graha KTT 1 Tipe VIP;Sukolilo;Khusus Laki Laki;1500000;Ada;Ada;Ada;Exclude;Dalam;1.3;
Kost Hijau;Sukolilo;Khusus Laki Laki;750000;Tidak;Tidak;Tidak;Exclude;Dalam;0.7;
Kost Karyawati Mahasiswa;Sukolilo;Khusus Perempuan;900000;Ada;Tidak;Ada;Include;Luar;2.0;
Kost Industrial Tipe A;Mulyorejo;Khusus Perempuan;1550000;Ada;Ada;Ada;Exclude;Dalam;1.1;
Kost Dzakir;Mulyorejo;Khusus Laki Laki;800000;Tidak;Tidak;Ada;Exclude;Luar;1.1;
Kost La ana Tipe A;Sukolilo;Khusus Laki Laki;1300000;Ada;Ada;Ada;Exclude;Dalam;1.8;
Kost Jalan Manyar Kertoadi;Mulyorejo;Khusus Laki Laki;110000;Ada;Ada;Ada;Exclude;Luar;1.5;
Kost Ratna Cempaka;Mulyorejo;Khusus Perempuan;1075000;Ada;Ada;Ada;Exclude;Luar;1.1;
KOst Rumah Djuwita Tipe VVIP;Mulyorejo;Khusus Laki Laki;850000;Tidak;Tidak;Ada;Exclude;Luar;0.9;
 Kost Ayska Executive;Mulyorejo;Khusus Perempuan;1650000;Ada;Ada;Ada;Include;Dalam;1,7;
Kost SPR;Sukolilo;Khusus Laki Laki;900000;Ada;Tidak;Ada;Include;Luar;1.9;
Kost Budi Keputih ;Sukolilo;Khusus Laki Laki;1350000;Ada;Ada;Ada;Exclude;Dalam;1.2;
Kost Mafaza House Tipe Modern;Sukolilo;Khusus Laki Laki;1300000;Ada;Ada;Ada;Exclude;Dalam;2.2;
Kost Dhomey;Sukolilo;Khusus Laki Laki;1500000;Ada;Ada;Ada;Exclude;Dalam;1.6;
kost Shafira Tipe B;Sukolilo;Khusus Perempuan;750000;Ada;Tidak;Tidak;Include;Luar;0.8;
Kost keputih 1 1 A ;Sukolilo;Khusus Laki Laki;612000;Ada;Tidak;Ada;Include;Luar;0.8;
Kost Domin Tipe A;Sukolilo;Khusus Perempuan;1600000;Ada;Ada;Ada;Exclude;Dalam;1.9;
Kost qanitah Sukolilo;Sukolilo;Khusus Perempuan;1050000;Ada;Tidak;Ada;Include;Dalam;1.9;
Kost Griya Maharani Superior Mulyorejo Surabaya;Mulyorejo;Khusus Perempuan;2400000;Ada;Ada;Ada;Exclude;Dalam;0.6;
Kost Azalia Wisper Mulyorejo Surabaya;Mulyorejo;Khusus Laki Laki;1500000;Ada;Ada;Ada;Exclude;Luar;0.6;
Kost Bu Nia Tipe B Sukolilo Surabaya;Sukolilo;Khusus Laki Laki;750000;Tidak;Tidak;Ada;Exclude;Luar;0.7;
Kost Bhaskara 4 Mulyorejo Surabaya;Mulyorejo;Khusus Perempuan;1000000;Ada;Tidak;Ada;Include;Luar;1.1;
Kost Johan Sukolilo Surabaya;Sukolilo;Khusus Laki Laki;900000;Tidak;Tidak;Tidak;Exclude;Luar;0.8;
Kost Pak Kasno Tipe B Sukolilo Surabaya;Sukolilo;Khusus Laki Laki;750000;Ada;Tidak;Tidak;Include;Luar;0,7;
Kost Graha F3 Tipe C Sukolilo Surabaya;Sukolilo;Khusus Laki Laki;900000;Ada;Tidak;Tidak;Include;Luar;0.7;
Kost Bu Chatimah Sukolilo Surabaya;Sukolilo;Khusus Laki Laki;650000;Ada;Tidak;Tidak;Include;Luar;0.9;
Kost Rachmat Tipe Non AC Mulyorejo Surabaya;Mulyorejo;Khusus Perempuan;750000;Ada;Tidak;Ada;Exclude;Luar;0.6;
Kost Griya Pena Sukolilo Surabaya;Sukolilo;Khusus Laki Laki;1000000;Ada;Ada;Ada;Exclude;Luar;0.7;
